,Date,day,month,year,cases,deaths,Country,Population,Continent,CFR
13116,2020-04-28,28,4,2020,22541,1369,United_States_of_America,327167434.0,America,0.06073377401180072
4483,2020-04-28,28,4,2020,3764,437,France,66987244.0,Europe,0.11609989373007439
12953,2020-04-28,28,4,2020,4309,360,United_Kingdom,66488991.0,Europe,0.08354606637270828
1781,2020-04-28,28,4,2020,4613,338,Brazil,209469333.0,America,0.07327119011489269
6548,2020-04-28,28,4,2020,1739,333,Italy,60431283.0,Europe,0.19148936170212766
4849,2020-04-28,28,4,2020,1144,163,Germany,82927922.0,Europe,0.14248251748251747
2266,2020-04-28,28,4,2020,1605,147,Canada,37058856.0,America,0.09158878504672897
1347,2020-04-28,28,4,2020,553,113,Belgium,11422068.0,Europe,0.20433996383363473
6036,2020-04-28,28,4,2020,991,96,Iran,81800269.0,Asia,0.09687184661957618
12674,2020-04-28,28,4,2020,2131,95,Turkey,82319724.0,Asia,0.044580009385265136
3701,2020-04-28,28,4,2020,521,87,Ecuador,17084357.0,America,0.16698656429942418
8173,2020-04-28,28,4,2020,852,83,Mexico,126190788.0,America,0.09741784037558686
11984,2020-04-28,28,4,2020,286,80,Sweden,10183175.0,Europe,0.27972027972027974
5804,2020-04-28,28,4,2020,1543,62,India,1352617328.0,Asia,0.04018146467919637
9979,2020-04-28,28,4,2020,1182,54,Peru,31989256.0,America,0.04568527918781726
10524,2020-04-28,28,4,2020,6198,48,Russia,144478050.0,Europe,0.007744433688286544
8843,2020-04-28,28,4,2020,400,43,Netherlands,17231017.0,Europe,0.1075
3816,2020-04-28,28,4,2020,463,30,Egypt,98423595.0,Africa,0.06479481641468683
10147,2020-04-28,28,4,2020,285,27,Poland,37978548.0,Europe,0.09473684210526316
6715,2020-04-28,28,4,2020,191,25,Japan,126529100.0,Asia,0.13089005235602094
10201,2020-04-28,28,4,2020,163,25,Portugal,10281762.0,Europe,0.15337423312883436
10406,2020-04-28,28,4,2020,303,23,Romania,19473936.0,Europe,0.07590759075907591
5923,2020-04-28,28,4,2020,214,22,Indonesia,267663435.0,Asia,0.102803738317757
9676,2020-04-28,28,4,2020,751,20,Pakistan,212215030.0,Asia,0.02663115845539281
12104,2020-04-28,28,4,2020,103,16,Switzerland,8516543.0,Europe,0.1553398058252427
6274,2020-04-28,28,4,2020,386,15,Ireland,4853506.0,Europe,0.038860103626943004
5630,2020-04-28,28,4,2020,66,11,Hungary,9768785.0,Europe,0.16666666666666666
433,2020-04-28,28,4,2020,223,11,Argentina,44494502.0,America,0.04932735426008968
2788,2020-04-28,28,4,2020,218,10,Colombia,49648685.0,America,0.045871559633027525
10031,2020-04-28,28,4,2020,198,10,Philippines,106651922.0,Asia,0.050505050505050504
2613,2020-04-28,28,4,2020,482,9,Chile,18729160.0,America,0.01867219917012448
161,2020-04-28,28,4,2020,135,7,Algeria,42228429.0,Africa,0.05185185185185185
754,2020-04-28,28,4,2020,67,7,Austria,8847037.0,Europe,0.1044776119402985
1148,2020-04-28,28,4,2020,497,7,Bangladesh,161356039.0,Asia,0.014084507042253521
8285,2020-04-28,28,4,2020,73,6,Moldova,3545883.0,Europe,0.0821917808219178
11047,2020-04-28,28,4,2020,233,6,Serbia,6982084.0,Europe,0.02575107296137339
5055,2020-04-28,28,4,2020,28,6,Greece,10727668.0,Europe,0.21428571428571427
12839,2020-04-28,28,4,2020,490,6,United_Arab_Emirates,9630959.0,Asia,0.012244897959183673
3392,2020-04-28,28,4,2020,123,5,Denmark,5797446.0,Europe,0.04065040650406504
10943,2020-04-28,28,4,2020,1289,5,Saudi_Arabia,33699947.0,Asia,0.003878975950349108
9302,2020-04-28,28,4,2020,13,4,North_Macedonia,2082958.0,Europe,0.3076923076923077
7419,2020-04-28,28,4,2020,9,4,Liberia,4818977.0,Africa,0.4444444444444444
2979,2020-04-28,28,4,2020,9,4,Croatia,4089400.0,Europe,0.4444444444444444
3177,2020-04-28,28,4,2020,5,3,Cyprus,1189265.0,Europe,0.6
4367,2020-04-28,28,4,2020,119,3,Finland,5518050.0,Europe,0.025210084033613446
11473,2020-04-28,28,4,2020,247,3,South_Africa,57779622.0,Africa,0.012145748987854251
11430,2020-04-28,28,4,2020,44,3,Somalia,15008154.0,Africa,0.06818181818181818
12379,2020-04-28,28,4,2020,16,3,Thailand,69428524.0,Asia,0.1875
1632,2020-04-28,28,4,2020,64,3,Bolivia,11353142.0,America,0.046875
6431,2020-04-28,28,4,2020,68,3,Israel,8883800.0,Asia,0.04411764705882353
1235,2020-04-28,28,4,2020,826,3,Belarus,9485386.0,Europe,0.0036319612590799033
3096,2020-04-28,28,4,2020,20,2,Cuba,11338138.0,America,0.1
2219,2020-04-28,28,4,2020,0,2,Cameroon,25216237.0,Africa,inf
3225,2020-04-28,28,4,2020,45,2,Czechia,10625695.0,Europe,0.044444444444444446
3345,2020-04-28,28,4,2020,12,2,Democratic_Republic_of_the_Congo,84068091.0,Africa,0.16666666666666666
9842,2020-04-28,28,4,2020,242,2,Panama,4176873.0,America,0.008264462809917356
7057,2020-04-28,28,4,2020,213,2,Kuwait,4137309.0,Asia,0.009389671361502348
1983,2020-04-28,28,4,2020,63,2,Bulgaria,7024216.0,Europe,0.031746031746031744
1706,2020-04-28,28,4,2020,48,2,Bosnia_and_Herzegovina,3323929.0,Europe,0.041666666666666664
11170,2020-04-28,28,4,2020,799,2,Singapore,5638676.0,Asia,0.0025031289111389237
6156,2020-04-28,28,4,2020,27,1,Iraq,38433600.0,Asia,0.037037037037037035
7013,2020-04-28,28,4,2020,17,1,Kosovo,1845300.0,Europe,0.058823529411764705
7250,2020-04-28,28,4,2020,6,1,Latvia,1926542.0,Europe,0.16666666666666666
4056,2020-04-28,28,4,2020,4,1,Estonia,1320884.0,Europe,0.25
7835,2020-04-28,28,4,2020,40,1,Malaysia,31528585.0,Asia,0.025
8133,2020-04-28,28,4,2020,2,1,Mauritius,1265303.0,Africa,0.5
8567,2020-04-28,28,4,2020,55,1,Morocco,36029138.0,Africa,0.01818181818181818
11525,2020-04-28,28,4,2020,14,1,South_Korea,51635256.0,Asia,0.07142857142857142
486,2020-04-28,28,4,2020,59,1,Armenia,2951776.0,Europe,0.01694915254237288
11898,2020-04-28,28,4,2020,38,1,Sudan,41801533.0,Africa,0.02631578947368421
634,2020-04-28,28,4,2020,12,1,Australia,24992369.0,Oceania,0.08333333333333333
874,2020-04-28,28,4,2020,33,1,Azerbaijan,9942334.0,Europe,0.030303030303030304
12623,2020-04-28,28,4,2020,18,1,Tunisia,11565204.0,Africa,0.05555555555555555
13236,2020-04-28,28,4,2020,4,1,United_States_Virgin_Islands,106977.0,America,0.25
11376,2020-04-28,28,4,2020,0,1,Slovenia,2067372.0,Europe,inf
1546,2020-04-28,28,4,2020,1,1,Bermuda,63968.0,America,1.0
8617,2020-04-28,28,4,2020,0,0,Mozambique,29495962.0,Africa,
